Region32,Estimate,SCENARIO,year,urban_pop,GDPC,ULC,urban_land
AUNZ,0,SSP1,2040,36.21517235,55922.55252,686.069048,994
AUNZ,0,SSP1,2080,47.78091361,92276.09544,822.4529996,1572
AUNZ,0,SSP1,2050,40.12075054,64280.53056,717.4248384,1151
AUNZ,0,SSP1,2060,43.65421967,72459.91035,748.1105997,1306
AUNZ,0,SSP1,2070,46.29770268,82102.07529,784.2841456,1452
AUNZ,0,SSP1,2090,47.77825205,103521.6359,864.6417693,1652
AUNZ,0,SSP1,2100,46.61475064,116424.7496,913.0490907,1702
AUNZ,0,SSP1,2020,27.92812198,40607.48634,628.6130457,702
AUNZ,0,SSP1,2030,32.16970562,47609.54063,654.8819526,843
BRA,-345.58,SSP1,2070,181.7074544,51315.66674,323.2058554,2349
BRA,-345.58,SSP1,2050,198.0379157,33570.6049,256.6334813,2033
BRA,-345.58,SSP1,2060,191.9365457,42324.90291,289.4761058,2222
BRA,-345.58,SSP1,2080,168.3886514,60878.90424,359.0832971,2419
BRA,-345.58,SSP1,2090,152.2813307,71237.00434,397.9427455,2424
BRA,-345.58,SSP1,2100,133.5258254,82992.17999,442.0434624,2361
BRA,-345.58,SSP1,2020,184.7448245,13428.55289,181.068559,1338
BRA,-345.58,SSP1,2030,194.7270717,18514.3765,200.1485349,1559
BRA,-345.58,SSP1,2040,199.0537437,25526.44169,226.4549987,1803
CAN,-182.6,SSP1,2020,31.77860773,40573.8923,445.8870144,567
CAN,-182.6,SSP1,2030,36.21186279,44125.98188,459.2130336,665
CAN,-182.6,SSP1,2040,40.38328956,49244.71493,478.4164725,773
CAN,-182.6,SSP1,2100,52.4846174,97637.22676,659.9658199,1386
CAN,-182.6,SSP1,2050,44.44333459,54719.51357,498.9557271,887
CAN,-182.6,SSP1,2060,48.23250499,60424.80075,520.3596825,1004
CAN,-182.6,SSP1,2070,51.28007535,67973.65927,548.6799801,1125
CAN,-182.6,SSP1,2080,53.20280546,76564.31139,580.9086706,1236
CAN,-182.6,SSP1,2090,53.54275093,86277.73244,617.349541,1322
CAS,-242.64,SSP1,2070,64.19335054,39941.41837,383.4742251,985
CAS,-242.64,SSP1,2080,62.03023336,46044.71856,406.3713662,1008
CAS,-242.64,SSP1,2050,63.10746691,27624.16155,337.2648045,851
CAS,-242.64,SSP1,2060,64.61355932,33402.67868,358.9434894,928
CAS,-242.64,SSP1,2090,58.52857486,52516.57263,430.6511739,1008
CAS,-242.64,SSP1,2100,54.40886029,59420.15473,456.5506525,994
CAS,-242.64,SSP1,2020,44.20272401,9034.142015,267.5224872,473
CAS,-242.64,SSP1,2030,52.47479491,14660.50434,288.6303481,606
CAS,-242.64,SSP1,2040,59.00800159,21418.88376,313.9850843,741
CHN,-304.13,SSP1,2060,958.1660932,65648.37257,418.4264345,16037
CHN,-304.13,SSP1,2070,889.1963507,73576.23875,448.1686173,15940
CHN,-304.13,SSP1,2080,805.3310053,80132.46471,472.7649546,15229
CHN,-304.13,SSP1,2090,711.4561106,86760.53638,497.6308283,14162
CHN,-304.13,SSP1,2100,611.0930367,94361.54997,526.1467909,12861
CHN,-304.13,SSP1,2020,811.6383676,15230.70858,229.2795263,7444
CHN,-304.13,SSP1,2030,933.5168215,28413.32775,278.7354404,10408
CHN,-304.13,SSP1,2040,994.5169353,43208.82917,334.2422435,13296
